a,b,pair,mean,std,min,max,n_queries
sbert,e5,SBERT vs E5,0.3534086502142643,0.1868931042571321,0.01552125619324773,0.6911530047931925,30
colbert,cross_encoder,ColBERT vs Cross-Encoder,0.3326530171543489,0.17004536631788042,0.011188077581901924,0.6461440185411846,30
sbert,cross_encoder,SBERT vs Cross-Encoder,0.3059771450074629,0.20966095573356308,0.0038275153381608536,0.6290635107063209,30
e5,cross_encoder,E5 vs Cross-Encoder,0.30522726893355595,0.16024842741201492,0.022076356322825393,0.7094275328570124,30
sbert,colbert,SBERT vs ColBERT,0.27372801442461364,0.2158025324039067,0.000280120033056679,0.6316953196835222,30
e5,colbert,E5 vs ColBERT,0.27255575660479037,0.19635339307161628,0.000538775641861774,0.6367453104660089,30
bm25,cross_encoder,BM25 vs Cross-Encoder,0.23652157991481454,0.17195345288573702,0.0067142596730866986,0.7079850517396632,30
bm25,e5,BM25 vs E5,0.18467656051301293,0.16998312404741028,0.0004890783163234471,0.5443786389616979,30
tfidf,sbert,TF-IDF vs SBERT,0.17189203964190425,0.1799768105292308,0.0008384070865112881,0.5908895334058402,30
bm25,tfidf,BM25 vs TF-IDF,0.17131785651035739,0.1997805518512917,0.0003501686169951886,0.636539602996971,30
tfidf,e5,TF-IDF vs E5,0.16830694691941459,0.15781308386454432,4.5519251051325496e-05,0.5224460709140831,30
bm25,sbert,BM25 vs SBERT,0.1573410092429911,0.17079771370304628,7.312736882175277e-06,0.5772969576724111,30
bm25,colbert,BM25 vs ColBERT,0.1554892792734637,0.15936535222411918,0.0011924153876450318,0.5563674428765049,30
tfidf,cross_encoder,TF-IDF vs Cross-Encoder,0.12330752653791503,0.15692330397675253,3.9450769703083784e-05,0.5374125015817961,30
tfidf,colbert,TF-IDF vs ColBERT,0.10193377132263046,0.13132890615507253,1.8774684758336456e-05,0.492274796105532,30
