model,feature,n_queries,mean_rho,std_rho,se,t,p_value,p_corrected,significant
ColBERT,gunning_fog_index,30,-0.0921,0.0711,0.013,-7.0944,0.0,0.0,True
ColBERT,lexical_density,30,0.0647,0.0681,0.0124,5.2078,0.0,0.0001,True
ColBERT,most_frequent_entity_count,30,0.0666,0.1779,0.0325,2.0516,0.0493,0.2246,False
ColBERT,keyword_density,30,0.0461,0.1289,0.0235,1.9581,0.0599,0.2246,False
ColBERT,avg_words_per_sentence,30,-0.0263,0.0954,0.0174,-1.5069,0.1426,0.4279,False
ColBERT,flesch_kincaid_grade,30,-0.0265,0.1117,0.0204,-1.2997,0.2039,0.5098,False
ColBERT,lexical_diversity,30,-0.0404,0.2107,0.0385,-1.0492,0.3027,0.6487,False
ColBERT,named_entity_count,30,0.0259,0.1842,0.0336,0.7694,0.4479,0.8398,False
ColBERT,char_count_no_spaces,30,-0.0116,0.191,0.0349,-0.3333,0.7413,0.9613,False
ColBERT,char_count,30,-0.0114,0.1916,0.035,-0.3268,0.7461,0.9613,False
ColBERT,word_count,30,-0.0116,0.1953,0.0357,-0.3259,0.7468,0.9613,False
ColBERT,avg_syllables_per_word,30,-0.0075,0.2043,0.0373,-0.2009,0.8422,0.9613,False
ColBERT,distinct_entity_types,30,-0.0041,0.153,0.0279,-0.1457,0.8852,0.9613,False
ColBERT,token_count,30,-0.0047,0.1994,0.0364,-0.1303,0.8973,0.9613,False
ColBERT,sentence_count,30,-0.0004,0.1994,0.0364,-0.0107,0.9915,0.9915,False
ColBERT,sentiment_polarity,0,,,,,,,False
