model,feature,n_queries,mean_rho,std_rho,se,t,p_value,p_corrected,significant
TF-IDF,lexical_density,30,-0.0496,0.036,0.0066,-7.5609,0.0,0.0,True
TF-IDF,lexical_diversity,30,0.1733,0.1539,0.0281,6.1682,0.0,0.0,True
TF-IDF,sentence_count,30,-0.1763,0.158,0.0288,-6.1113,0.0,0.0,True
TF-IDF,char_count_no_spaces,30,-0.1569,0.1553,0.0284,-5.5328,0.0,0.0,True
TF-IDF,char_count,30,-0.1571,0.1556,0.0284,-5.5299,0.0,0.0,True
TF-IDF,word_count,30,-0.1579,0.1564,0.0286,-5.5265,0.0,0.0,True
TF-IDF,token_count,30,-0.1581,0.158,0.0288,-5.4814,0.0,0.0,True
TF-IDF,keyword_density,30,0.1086,0.1223,0.0223,4.8629,0.0,0.0001,True
TF-IDF,most_frequent_entity_count,30,-0.1246,0.1484,0.0271,-4.597,0.0001,0.0001,True
TF-IDF,distinct_entity_types,30,-0.1151,0.1403,0.0256,-4.4955,0.0001,0.0002,True
TF-IDF,named_entity_count,30,-0.1232,0.155,0.0283,-4.3526,0.0002,0.0002,True
TF-IDF,flesch_kincaid_grade,30,0.0336,0.0483,0.0088,3.8074,0.0007,0.0008,True
TF-IDF,avg_syllables_per_word,30,0.027,0.1083,0.0198,1.3641,0.183,0.2112,False
TF-IDF,avg_words_per_sentence,30,0.0117,0.0648,0.0118,0.986,0.3323,0.356,False
TF-IDF,gunning_fog_index,30,-0.0068,0.0473,0.0086,-0.7862,0.4381,0.4381,False
TF-IDF,sentiment_polarity,0,,,,,,,False
