model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
ColBERT,gunning_fog_index,30,-0.0607,0.047,0.0086,-7.0712,0.0,0.0,True
ColBERT,lexical_density,30,0.0433,0.0453,0.0083,5.235,0.0,0.0001,True
ColBERT,keyword_density,30,0.0328,0.0861,0.0157,2.0847,0.046,0.1887,False
ColBERT,most_frequent_entity_count,30,0.0451,0.1209,0.0221,2.0421,0.0503,0.1887,False
ColBERT,avg_words_per_sentence,30,-0.0181,0.0638,0.0116,-1.5578,0.1301,0.3904,False
ColBERT,flesch_kincaid_grade,30,-0.0182,0.075,0.0137,-1.3285,0.1944,0.486,False
ColBERT,lexical_diversity,30,-0.0239,0.1385,0.0253,-0.9435,0.3532,0.7569,False
ColBERT,named_entity_count,30,0.0146,0.1224,0.0224,0.6509,0.5203,0.8766,False
ColBERT,char_count_no_spaces,30,-0.011,0.1268,0.0232,-0.4751,0.6383,0.8766,False
ColBERT,word_count,30,-0.0112,0.1297,0.0237,-0.4738,0.6392,0.8766,False
ColBERT,char_count,30,-0.0109,0.1272,0.0232,-0.4686,0.6428,0.8766,False
ColBERT,token_count,30,-0.0066,0.1324,0.0242,-0.2729,0.7869,0.9012,False
ColBERT,distinct_entity_types,30,-0.005,0.1053,0.0192,-0.2581,0.7981,0.9012,False
ColBERT,avg_syllables_per_word,30,-0.0048,0.1377,0.0251,-0.1901,0.8505,0.9012,False
ColBERT,sentence_count,30,-0.0031,0.1335,0.0244,-0.1253,0.9012,0.9012,False
ColBERT,sentiment_polarity,0,,,,,,,False
