feature,spearman_r,spearman_p,kendall_t,kendall_p,direction_conflict,mutual_info_norm,partial_r,partial_p,mw_effect_top10,mw_p_top10,mw_effect_top20,mw_p_top20,has_breakpoint,breakpoint_value
token_count,-0.7105693207072754,0.0,-0.5245137871503459,0.0,False,0.6118991493557528,-0.02092828532808457,0.0023883905031657346,-0.8122262253724961,0.0,-0.7710583034148668,0.0,True,656.1948543817539
char_count,-0.7139708530101647,0.0,-0.5274015630277774,0.0,False,0.5047913118710748,-0.055981391649865445,4.308423846224514e-16,-0.8130106027437138,0.0,-0.7720686843295195,0.0,True,6927.221519928296
non_whitespace_char_count,-0.7133691306908394,0.0,-0.5269577013571931,0.0,False,0.5013992955093257,0.06470248565966315,5.534041412314545e-21,-0.8125319289536974,0.0,-0.7713686761126208,0.0,True,5754.000024480884
word_count,-0.7194178327168269,0.0,-0.5329557248485867,0.0,False,0.4985920996003318,-0.0935674785558492,3.639762739274837e-42,-0.8170555854065764,0.0,-0.7762074806414916,0.0,True,1063.3477189756106
syllable_count,-0.7141717669377691,0.0,-0.5276387350324647,0.0,False,0.47742551520564036,0.010527438710386732,0.1266049915090485,-0.8123169871466438,0.0,-0.7709922440777379,0.0,True,1863.6561207797017
sentence_count,-0.7160650205778147,0.0,-0.5351718603425369,0.0,False,0.3998261000599284,0.032480908207461676,2.4243549100184735e-06,-0.820297397445279,0.0,-0.7766659279701451,0.0,True,65.3868872108746
lexical_diversity,0.6491417676163191,0.0,0.47261920958098,0.0,False,0.391101064725259,-0.09037142518989504,1.935831000960172e-39,0.777061904758348,0.0,0.7308430332485949,0.0,True,0.587766092703774
entity_count,-0.6104502088385827,0.0,-0.4431575151387288,0.0,False,0.3655041686205056,0.18899619949222374,1.4327459427340876e-168,-0.7469743645814453,0.0,-0.698457792519666,0.0,True,110.45423462983122
sentiment_polarity,-0.24718512096901196,1.2049049939549148e-290,-0.1863529481897561,0.0,False,0.33090016060730854,-0.011619599357278824,0.09177260363306708,-0.05518535122794743,2.1386306188853472e-05,-0.21949289203348843,3.6429922316838424e-109,True,0.2092193811800384
avg_words_per_sentence,-0.3175658724777616,0.0,-0.2181204170137,0.0,False,0.3277270420897228,0.08256570732182343,3.5017234076552064e-33,-0.20657690607496004,8.118005700133348e-57,-0.28792294619837255,7.83831547554903e-186,True,20.110991375205966
lexical_density,-0.039091175561941985,1.3909506048420493e-08,-0.02692783456636591,1.138545146071046e-08,False,0.30585257353371065,-0.057738273596890814,5.067611938985942e-17,-0.035054139145292984,0.007029620172172644,-0.05481001045422551,3.121856282260802e-08,True,0.5890855413014473
gunning_fog_index,-0.1904583766231575,3.321094230884356e-171,-0.12820350515949955,8.689951309518686e-163,False,0.3021390195282464,-0.06064784174393337,1.269202197333192e-18,0.02063395569278592,0.11260027992322559,-0.0959939552912139,3.2290260550857515e-22,True,12.509456760947687
avg_token_length,0.20866936589452115,7.356163503096309e-206,0.143719827015053,4.9721027821340626e-204,False,0.2916913623320181,-0.05033514767610649,2.7009858665850874e-13,0.18522047027609723,5.01013493696653e-46,0.21838644005240204,9.221045723446668e-108,True,6.412428339349691
avg_syllables_per_word,0.28684008473518363,0.0,0.1981264944132358,0.0,False,0.2894108376004362,0.03145625749316155,4.9808144494176694e-06,0.23438186111848724,1.2991473548951763e-72,0.25481117850849444,5.453305975957667e-146,True,1.4926447483105636
flesch_kincaid_grade,-0.06558943818973705,1.6092399318121652e-21,-0.04355023491623159,2.5408708307652408e-20,False,0.27748473299938764,-0.002011719776321947,0.7703545476664495,-0.013323018889363603,0.30562274628628394,-0.06560557040051007,3.483621941598273e-11,True,13.47803647038545
entity_density,0.265527023270148,0.0,,,False,,,,,,,,False,
sentence_complexity,-0.23967154894217557,7.474982043227183e-273,,,False,,,,,,,,False,
syllable_density,0.28684008473518363,0.0,,,False,,,,,,,,False,
token_word_ratio,0.06797739734101364,5.327698668737264e-23,,,False,,,,,,,,False,
