feature,spearman_r,spearman_p,kendall_t,kendall_p,direction_conflict,mutual_info_norm,partial_r,partial_p,mw_effect_top10,mw_p_top10,mw_effect_top20,mw_p_top20,has_breakpoint,breakpoint_value
non_whitespace_char_count,-0.4165393009358278,0.0,-0.2946566726365206,0.0,False,0.10043817758235435,-0.007730451282684398,0.26197090670440576,-0.624667250537871,0.0,-0.5072616791471911,0.0,True,9279.963001723618
char_count,-0.41645982010868315,0.0,-0.294603218486934,0.0,False,0.10033656104716901,0.019652593204507435,0.0043449531289805905,-0.6245253666282229,0.0,-0.5072216539775605,0.0,True,10992.702078890856
word_count,-0.4168582080012708,0.0,-0.29501584449374824,0.0,False,0.09806587955860058,-0.06241917616513724,1.232583924321371e-19,-0.6244688435662125,0.0,-0.507950097971468,0.0,True,1753.9859405852858
token_count,-0.4146313774354484,0.0,-0.2936113904064396,0.0,False,0.09782157547914139,-0.04333927392874678,3.1399330681356414e-10,-0.6234393271029686,0.0,-0.5064258013969123,0.0,True,1094.1456901312981
syllable_count,-0.41697045616005085,0.0,-0.2950056966208667,0.0,False,0.09682092935691894,0.021547823224772018,0.0017656219936811933,-0.6248406029607663,0.0,-0.5072741940593855,0.0,True,2899.6202159446616
sentence_count,-0.4172260368553711,0.0,-0.29861163408963304,0.0,False,0.0942217759660101,0.03511305533178186,3.457054545440606e-07,-0.6228122869110628,0.0,-0.5072290529965942,0.0,True,86.2233960764232
entity_count,-0.38790686239086974,0.0,-0.2737394996159453,0.0,False,0.08700860410292303,0.0027746233346655136,0.6872330428376412,-0.6018642287989411,0.0,-0.48501983331715404,0.0,True,250.58598277104466
lexical_diversity,0.39868367193525633,0.0,0.279491083709774,0.0,False,0.07505759285466757,0.02824943069431697,4.132294074989443e-05,0.610160792076509,0.0,0.4946609242386677,0.0,True,0.5176649731874332
sentiment_polarity,-0.06575142272080743,1.2819618348551185e-21,-0.049596224022340575,1.2849794352817696e-26,False,0.06265346299719228,0.07115347706197057,4.751311500652573e-25,0.06115334305850695,3.868238531212638e-06,-0.020230003227945437,0.04164709049248032,True,-0.9621501229933968
avg_words_per_sentence,-0.15167740193285623,1.3809619764914218e-108,-0.10130148469251292,1.680360729954871e-107,False,0.03595824601195681,0.04996246631390105,4.0362250526352834e-13,-0.20020132833204451,1.7147698627717268e-51,-0.16458834564022728,1.6647419198470457e-61,True,21.350877272382075
avg_token_length,0.06875792221513914,1.703769026254366e-23,0.04589942836571176,1.7559711895490156e-23,False,0.028863536038603956,-0.05903723461364314,9.987806618105368e-18,0.08549554089162925,1.1425161468842402e-10,0.0983131758686786,4.8684990828654287e-23,True,5.401234581889894
avg_syllables_per_word,0.09692537310763463,3.93069793206513e-45,0.06435988267749236,1.5302488503986326e-44,False,0.027600008338447616,-0.012143484060385965,0.07804448905165907,0.07361730459556548,2.8386842847011838e-08,0.09961279594525863,1.3097055167488681e-23,True,1.4937921212776482
gunning_fog_index,-0.06129707844324365,5.440972336340231e-19,-0.040804431647841775,6.818274141461648e-19,False,0.027502039497717037,0.03200327763264857,3.40027648014287e-06,-0.009055315232323835,0.4947249661233263,-0.02581063934402006,0.009459668696376421,True,14.646205662495387
lexical_density,-0.023068143076462527,0.0008147004612243341,-0.016710397468497767,0.0002787253843463562,False,0.026277987715867188,0.03302901565219165,1.6349835725403316e-06,-0.11603570794333429,2.1395538125430747e-18,-0.060868107595322796,9.378378030989214e-10,True,0.6123630660676347
flesch_kincaid_grade,-0.06224700292440261,1.5506395304507684e-19,-0.042105684754181416,5.114235713274281e-20,False,0.026049219345642933,-0.018271081710825678,0.008014719873535213,-0.12581920858092244,2.369194760974006e-21,-0.07407194597526634,9.539348892690575e-14,True,13.952691844482164
entity_density,0.018422521897430728,0.007508008435331065,,,False,,,,,,,,False,
sentence_complexity,-0.12809217092047373,9.761747748633352e-78,,,False,,,,,,,,False,
syllable_density,0.09692537310763463,3.93069793206513e-45,,,False,,,,,,,,False,
token_word_ratio,0.012081425378843963,0.07957783692258014,,,False,,,,,,,,False,
