feature,spearman_r,spearman_p,kendall_t,kendall_p,direction_conflict,mutual_info_norm,partial_r,partial_p,mw_effect_top10,mw_p_top10,mw_effect_top20,mw_p_top20,has_breakpoint,breakpoint_value
word_count,-0.421997894202997,0.0,-0.2987679575372818,0.0,False,0.1032984869215564,-0.06355157681592989,2.6813777990581536e-20,-0.7003729018819775,0.0,-0.5474323346320655,0.0,True,1748.9838898961625
char_count,-0.42153715316575036,0.0,-0.2982838519748451,0.0,False,0.10311625171951283,0.020492471245974083,0.002940647976289956,-0.7009633874872372,0.0,-0.5474810695041017,0.0,True,11018.63814693973
non_whitespace_char_count,-0.42160090909459585,0.0,-0.2983242886166677,0.0,False,0.10308132560424531,-0.008600231251181194,0.21204541762384618,-0.7012000277003092,0.0,-0.5475370765548453,0.0,True,9279.586298377064
sentence_count,-0.42320223860033235,0.0,-0.3030232584982374,0.0,False,0.10225745012140285,0.034885611892056356,4.1136369398456204e-07,-0.6970411980964957,0.0,-0.545483094777685,0.0,True,86.07071228836872
token_count,-0.4198365951972249,0.0,-0.2974320974897368,0.0,False,0.10205693848327302,-0.04258070246957712,6.350260931518555e-10,-0.6996335421479645,0.0,-0.5467627868296672,0.0,True,1095.2355385976643
syllable_count,-0.42204410197531933,0.0,-0.29868407410654585,0.0,False,0.09996451601220128,0.021834769526267287,0.0015311451058759007,-0.7014446853689853,0.0,-0.5474388598621849,0.0,True,2902.1855658981017
entity_count,-0.3929041398433876,0.0,-0.2773823986931092,0.0,False,0.0873701430833151,0.003392400661947502,0.6225382606495508,-0.6765917756138664,0.0,-0.5247300020441024,0.0,True,250.99992022478628
lexical_diversity,0.4046316955770611,0.0,0.28395743031433285,0.0,False,0.0793195913609456,0.03050434253391702,9.539038105057388e-06,0.6824606533344397,0.0,0.5325241568810763,0.0,True,0.5171649574262487
sentiment_polarity,-0.0665001140505701,4.449864218004928e-22,-0.05005877529967332,4.3738090605915095e-27,False,0.07128096274674793,0.07222421849747271,9.223187444244174e-26,0.03639118087900983,0.00599080620007306,-0.036088482796900134,0.0002791949915595275,True,-0.9778778779035332
avg_words_per_sentence,-0.14974413588589017,7.447945838999619e-106,-0.10014711198772731,4.14045449405307e-105,False,0.0371653385258136,0.0515833724003239,6.887439962064155e-14,-0.22867431972891383,1.2579430465081615e-66,-0.18625750739704605,3.024309021820113e-78,True,21.395258775934355
avg_token_length,0.0738929788129821,6.827681961538542e-27,0.0493605118716228,6.67851975329297e-27,False,0.031063258623570317,-0.054976964310305125,1.4226715165697825e-15,0.08936539133000365,1.599360353364618e-11,0.10468980549909757,6.596201554874484e-26,True,5.402370967128166
avg_syllables_per_word,0.09900237381452631,5.089524260982228e-47,0.06567585123787818,2.614196338309065e-46,False,0.030674976194690683,-0.014861113833313323,0.031041290160200657,0.07261797886358179,4.3565851094971296e-08,0.09909466730571637,2.2150268201567448e-23,True,1.4926447540586019
lexical_density,-0.024920713393766607,0.0002983999598571471,-0.017971640335510554,9.282478928815239e-05,False,0.030000050580969318,0.03335590564643644,1.2888843853560756e-06,-0.13109905386006404,4.8100687093000573e-23,-0.07532634042883757,3.639491493574381e-14,True,0.612364327948335
gunning_fog_index,-0.05792389379026891,4.026746455237345e-17,-0.03857122397587358,4.7813421167277495e-17,False,0.028456266696047717,0.03265014169712953,2.1481093976737515e-06,-0.0255306603537222,0.054212532646552174,-0.04384317619902722,1.0435099121385995e-05,True,14.646207578463848
flesch_kincaid_grade,-0.05916752887199732,8.469761616632634e-18,-0.04012344532635615,2.540301322546512e-18,False,0.025060382471191897,-0.01849678268183252,0.007270191480984621,-0.15455058753919038,2.192877214301569e-31,-0.09465388882856929,1.7924829307200953e-21,True,13.543268048906604
entity_density,0.016655681414260853,0.015649338342384078,,,False,,,,,,,,False,
sentence_complexity,-0.12550125193644104,1.1261510656046456e-74,,,False,,,,,,,,False,
syllable_density,0.09900237381452631,5.089524260982228e-47,,,False,,,,,,,,False,
token_word_ratio,0.009667970281657579,0.16064519665248098,,,False,,,,,,,,False,
