feature,spearman_r,spearman_p,kendall_t,kendall_p,direction_conflict,mutual_info_norm,partial_r,partial_p,mw_effect_top10,mw_p_top10,mw_effect_top20,mw_p_top20,has_breakpoint,breakpoint_value
char_count,-0.5572919197180295,0.0,-0.3985678930527586,0.0,False,0.11527743337705346,-0.003481446483262766,0.6134343192461882,-0.8205436376077997,0.0,-0.6857142220927888,0.0,True,8161.076653007134
non_whitespace_char_count,-0.5571086913263711,0.0,-0.39842235012403143,0.0,False,0.11483757213412166,0.01843220771872622,0.007476599457027462,-0.8204546438505915,0.0,-0.6855330236399926,0.0,True,6489.143148074757
syllable_count,-0.5575740437546792,0.0,-0.39888341569893637,0.0,False,0.11455727962957729,0.010431258217127684,0.13010948071986614,-0.8206374919474679,0.0,-0.6857613221339527,0.0,True,2038.0151264111437
word_count,-0.5594145181300337,0.0,-0.4005926469043212,0.0,False,0.11392251086339289,-0.05550708158001077,7.593524170853774e-16,-0.8222126463736847,0.0,-0.6879142957391009,0.0,True,1218.3539969936353
sentence_count,-0.5602157556594426,0.0,-0.40602658429378996,0.0,False,0.11349036217278904,0.0346334029961712,4.982316694321118e-07,-0.8222975812939932,0.0,-0.6877473597763282,0.0,True,66.41954660329706
token_count,-0.5548745235736946,0.0,-0.3969509865555765,0.0,False,0.11311400262482196,-0.06154656517253227,3.920070911106327e-19,-0.8188726745871111,0.0,-0.6837913650262775,0.0,True,785.999518415279
lexical_diversity,0.5235415295352875,0.0,0.37008620776468826,0.0,False,0.09754154214916043,0.003735074404914759,0.5878320333503042,0.7940908696413832,0.0,0.6546118748026224,0.0,True,0.5653714684928024
entity_count,-0.49848455853038337,0.0,-0.3526606198902041,0.0,False,0.08877333483493258,0.06429737897474164,9.674962808434707e-21,-0.7642948727970538,0.0,-0.6267642784719045,0.0,True,190.4430853252589
sentiment_polarity,-0.14521875982913554,1.3309559938851152e-99,-0.10673193068356537,7.109404252054916e-117,False,0.0770563258615016,0.04432664329682442,1.2332189383000856e-10,-0.05574955292663186,2.550981506861293e-05,-0.12055879872176511,6.522959265020039e-34,True,0.28547174665359354
avg_words_per_sentence,-0.2164970245141545,8.193813467869007e-222,-0.1448851072384839,8.063141551703844e-218,False,0.04295339665068851,0.06344291472129233,3.1076694035668114e-20,-0.24534140731199972,2.0639241194623438e-76,-0.24090626736655474,1.3490741821181672e-129,True,21.099998873822695
avg_syllables_per_word,0.178693056981388,1.2829087894802946e-150,0.11868298391564172,5.157045278599405e-147,False,0.037156847556386555,0.009076204801659462,0.18782821989969448,0.16880820422223264,4.08195672641849e-37,0.177125187117668,6.122666468664179e-71,True,1.4926447574252808
gunning_fog_index,-0.1068271544410475,1.7023493442722078e-54,-0.07126154976354014,3.185727506693e-54,False,0.03474147619614359,0.006837648585040505,0.32110508691060086,-0.03013190317960257,0.023081034162524054,-0.08591669025896742,5.720963072615791e-18,True,14.20589243618622
lexical_density,-0.01959690398648216,0.004456720615944256,-0.013878013644453359,0.002540178881128814,False,0.03410669871028384,0.03058492319084491,9.034935673065878e-06,-0.07722270427174038,5.780627663763241e-09,-0.04556630203173406,4.622930113057029e-06,True,0.5991783103744387
flesch_kincaid_grade,-0.05818204224049045,2.921248284179262e-17,-0.03935701954976211,1.089081591139801e-17,False,0.03331898512916019,-0.01163745311191725,0.09127475467229827,-0.09438133704701879,1.104541160840676e-12,-0.08115750028271296,3.3640211673098094e-16,True,13.528146266816147
avg_token_length,0.1249778545544887,4.5959507290080725e-74,0.08288996051132345,1.0358355924966609e-72,False,0.031354008469184465,-0.07443695227661706,2.8852027682704416e-27,0.13854145746118451,1.5171068389339747e-25,0.13914810823572543,1.7982541951204287e-44,True,6.412428342297238
entity_density,0.11456419965120164,1.8696178570831607e-62,,,False,,,,,,,,False,
sentence_complexity,-0.1692822861388119,3.7343657267303384e-135,,,False,,,,,,,,False,
syllable_density,0.178693056981388,1.2829087894802946e-150,,,False,,,,,,,,False,
token_word_ratio,0.03822964805188328,2.867390698527197e-08,,,False,,,,,,,,False,
