feature,spearman_r,spearman_p,kendall_t,kendall_p,direction_conflict,mutual_info_norm,partial_r,partial_p,mw_effect_top10,mw_p_top10,mw_effect_top20,mw_p_top20,has_breakpoint,breakpoint_value
syllable_count,-0.5594230988231305,0.0,-0.4006939313919796,0.0,False,0.11372333659854723,0.010118817376493614,0.14201462158243652,-0.8250428082020174,0.0,-0.6969736264573811,0.0,True,2076.2356467569007
sentence_count,-0.5622649811174647,0.0,-0.40799496591545603,0.0,False,0.11296124542306803,0.03297034392236711,1.7059012635036823e-06,-0.8264783837370724,0.0,-0.6983613300938878,0.0,True,67.75149898257288
word_count,-0.5612445530709614,0.0,-0.40239948512227636,0.0,False,0.11256309239648578,-0.05562859863010515,6.570249716414554e-16,-0.8265692816399866,0.0,-0.6988986257160701,0.0,True,1249.749670905162
token_count,-0.5568765661088413,0.0,-0.39890057614254226,0.0,False,0.10967828125076452,-0.06141254600046284,4.675732682735647e-19,-0.8232776901870753,0.0,-0.6951928023695801,0.0,True,855.5329084100996
char_count,-0.559147290141823,0.0,-0.4003829617707735,0.0,False,0.10919079944842276,-0.0023240735108776838,0.73593941236948,-0.8248544982135104,0.0,-0.6969032018895489,0.0,True,8236.659701177465
non_whitespace_char_count,-0.558962642072926,0.0,-0.40023259070945727,0.0,False,0.10912488426180456,0.01750424866932575,0.011080463506603348,-0.8247438573261705,0.0,-0.6967497110013632,0.0,True,6864.248873030459
lexical_diversity,0.525613771446706,0.0,0.37197912136154143,0.0,False,0.09293272606269676,0.003366184753242115,0.6252296643132653,0.7995516839262442,0.0,0.6652659125699214,0.0,True,0.5595854933385553
entity_count,-0.5014972495933309,0.0,-0.3552979217887783,0.0,False,0.0892393872565345,0.06148532716745999,4.249083559830457e-19,-0.7709920789542992,0.0,-0.6393679225211932,0.0,True,197.13834540025917
sentiment_polarity,-0.14902623211463134,7.536931656255772e-105,-0.10972905977149296,2.0336999283494153e-123,False,0.0768329904137356,0.040470428179531934,4.231660409725303e-09,-0.06029537509064742,5.274944760523405e-06,-0.1308575003616359,1.1981400521614069e-39,True,0.3055520888958187
avg_words_per_sentence,-0.21695834422140511,8.979004154684947e-223,-0.14522133832696713,8.017889480875686e-219,False,0.04401341181534589,0.0629404076273051,6.128467404628617e-20,-0.2432933733324194,3.5802658786288956e-75,-0.24798318243844375,3.3363904897863644e-137,True,21.181194897015512
avg_syllables_per_word,0.17923459394988614,1.5535207616557985e-151,0.11903780307557803,6.983877629590037e-148,False,0.03978341256641086,0.0072831203858399985,0.29058818645139955,0.17025976455939873,9.988797704097739e-38,0.17765743731353767,2.3505285140439354e-71,True,1.4926447526011628
lexical_density,-0.021546649558337138,0.0017666454173027569,-0.015224505566713719,0.0009283677891269975,False,0.03633733026626638,0.031391675365966945,5.208336212303622e-06,-0.0780333441969856,4.00201992916106e-09,-0.05077977768329589,3.301475561628252e-07,True,0.5993059469734545
avg_token_length,0.12803916447670546,1.1293201292472994e-77,0.08495970637612724,2.712581992329621e-76,False,0.034685889905416475,-0.07165443839920548,2.2132980123506633e-25,0.14505629155798005,7.589537934325242e-28,0.14471004245035668,5.923824146737288e-48,True,6.412428328814045
gunning_fog_index,-0.10572266177317918,2.0949211425507485e-53,-0.07052451734610728,3.819329690810698e-53,False,0.03352823400436113,0.0073917749648616,0.2834510059885626,-0.023471978190917175,0.07674382973720141,-0.09007485439576146,1.3525960902894916e-19,True,14.203062523883768
flesch_kincaid_grade,-0.05806817633904726,3.366081530632846e-17,-0.039323532106779836,1.1601265015314551e-17,False,0.029742480070519807,-0.012051076594651865,0.08033656340608467,-0.09301072795690768,2.32497536723176e-12,-0.08701522613826218,2.1633168347774507e-18,True,13.49471785527357
entity_density,0.110257784697642,5.911432619782705e-58,,,False,,,,,,,,False,
sentence_complexity,-0.16944083847589525,2.0845192796306888e-135,,,False,,,,,,,,False,
syllable_density,0.17923459394988614,1.5535207616557985e-151,,,False,,,,,,,,False,
token_word_ratio,0.035039978143295326,3.656122319282223e-07,,,False,,,,,,,,False,
