model,feature,corr_with_rank,corr_with_score,n
bm25,avg_token_length,0.21641830927079445,-0.19780559386539975,21058
bm25,char_count,-0.7211319104802963,0.6728665931203764,21058
bm25,lexical_diversity,0.6565178012818158,-0.6079322276198303,21058
bm25,flesch_kincaid_grade,-0.06602136021775927,0.051056985076571464,21058
bm25,sentence_count,-0.72305749982163,0.675871104915397,21058
bm25,word_count,-0.7265022930303766,0.6785307437185598,21058
hybrid,avg_token_length,0.12803916447670546,-0.1323600430921663,21058
hybrid,char_count,-0.559147290141823,0.5652382119494269,21058
hybrid,lexical_diversity,0.525613771446706,-0.5300672574246129,21058
hybrid,flesch_kincaid_grade,-0.05806817633904726,0.052088588437238785,21058
hybrid,sentence_count,-0.5622649811174647,0.5693184436013607,21058
hybrid,word_count,-0.5612445530709614,0.5677148893728282,21058
pagerank,avg_token_length,-0.016387048777697935,0.016387027254691208,21058
pagerank,char_count,-0.22774908455988646,0.22774906251817653,21058
pagerank,lexical_diversity,0.14863951613176052,-0.14863948569230712,21058
pagerank,flesch_kincaid_grade,-0.11327163142754013,0.11327160628798393,21058
pagerank,sentence_count,-0.18901354632169057,0.1890135260051233,21058
pagerank,word_count,-0.2252948502006138,0.22529482804298603,21058
semantic,avg_token_length,0.06967532698031936,-0.06746818610251952,21058
semantic,char_count,-0.4172113451438163,0.40331417972267825,21058
semantic,lexical_diversity,0.39975925469482176,-0.3866817779406783,21058
semantic,flesch_kincaid_grade,-0.062132083695064275,0.058781823627194994,21058
semantic,sentence_count,-0.418155723216044,0.4046058429177082,21058
semantic,word_count,-0.41763682745975045,0.4037729455644652,21058
